id,imdbid,bechdelRating,title,year,genres
2345,56869,3,"Birds, The",1963,
2346,175880,1,Magnolia,1999,
2347,118749,3,Boogie Nights,1997,
2348,1086216,3,Uncertainty,2009,
2349,105107,3,Passion Fish,1992,
2350,109504,3,Crooklyn,1994,
2351,352248,2,Cinderella Man,2005,
2352,89881,1,Ran,1985,
2353,97499,3,Henry V,1989,
2354,120866,3,Titus,1999,
2355,1742683,1,Too Big to Fail,2011,
2356,1411697,1,"Hangover Part 2, The",2011,
2357,896031,3,"Loss of a Teardrop Diamond, The",2008,
2358,1486190,3,&#39;Tamara Drewe&#39;,2010,
2359,468489,3,Half Nelson,2006,
2360,405296,1,A Scanner Darkly,2006,
2361,97165,1,Dead Poets Society,1989,
2362,26942,3,Roberta,1935,
2363,27387,3,Born to Dance,1936,
2364,780607,2,"Signal, The",2007,
2365,93146,3,Hard Ticket to Hawaii,1987,
2366,114323,3,Safe,1995,
2367,75222,1,Silent Movie,1976,
2368,478304,0,"Tree of Life, The",2011,
2369,471834,3,Nana,2005,
2370,1270798,3,X-Men: First Class,2011,
2371,452623,3,Gone Baby Gone,2007,
2372,31060,2,At the Circus,1939,
2373,51951,1,"Day the Sky Exploded, The",1958,
2374,233657,1,Epoch,2001,
2375,46534,1,"War of the Worlds, The",1953,
2376,1229822,3,Jane Eyre,2011,
2377,80711,3,Fade to Black,1980,
2378,436339,1,G-Force,2009,
2379,196378,3,Bimbos B.C.,1990,
2380,328538,3,Thirteen,2003,
2381,339840,3,Undead,2003,
2382,28772,2,A Day at the Races,1937,
2383,23027,1,Horse Feathers,1932,
2384,22158,1,Monkey Business,1931,
2385,57840,2,"Americanization of Emily, The",1964,
2386,372588,2,Team America: World Police,2004,
2387,86216,2,Rumble Fish,1983,
2388,1650062,3,Super 8,2011,
2389,59764,3,A Study in Terror,1965,
2390,59800,2,Thunderball,1965,
2391,68240,3,Avanti!,1972,
2392,55256,3,"One, Two, Three",1961,
2393,182508,1,Urbania,2000,
2394,109642,3,Dolores Claiborne,1995,
2395,120461,3,Volcano,1997,
2396,1183665,3,Cracks,2009,
2397,1723120,3,Viva Riva!,2010,
2398,361693,3,Happy Endings,2005,
2399,71583,1,"Groove Tube, The",1974,
2400,62512,1,You Only Live Twice,1967,
2401,1013752,1,Fast &amp; Furious,2009,
2402,319061,1,Big Fish,2003,
2403,318411,3,"Magdalene Sisters, The",2002,
2405,487503,3,"Page Turner, The",2006,
2406,95675,3,Women on the Verge of a Nervous Breakdown,1988,
2407,36418,3,Tender Comrade,1943,
2408,102436,3,&#39;Merci la vie&#39;,1991,
2409,757361,3,Margot at the Wedding,2007,
2410,33717,1,High Sierra,1941,
2411,1133985,1,Green Lantern,2011,
2412,294870,3,Rent,2005,
2413,1764657,0,"Great White Silence, The",1924,
2414,206917,3,"Man Who Cried, The",2000,
2415,104454,3,Howards End,1992,
2416,1415283,3,Nanny McPhee and the Big Bang,2010,
2417,367594,3,Charlie and the Chocolate Factory,2005,
2418,351817,3,"Twilight Samurai, The",2002,
2419,1313092,1,Animal Kingdom,2010,
2420,50397,0,Fire Down Below,1957,
2421,90660,1,Armed and Dangerous,1986,
2422,112604,3,Butterfly Kiss,1995,
2423,118842,3,Chasing Amy,1997,
2424,844286,3,"Brothers Bloom, The",2008,
2425,1396218,1,Mr. Popper&#39;s Penguins,2011,
2426,47094,3,Hobson&#39;s Choice,1954,
2427,45591,3,Calamity Jane,1953,
2428,65134,3,Two Mules for Sister Sara,1970,
2429,50490,0,"Heaven Knows, Mr. Allison",1957,
2430,56262,3,"Music Man, The",1962,
2431,62362,3,Thoroughly Modern Millie,1967,
2432,105665,3,Twin Peaks: Fire Walk With Me,1992,
2433,1718807,3,Jamie and Jessie Are Not Together,2011,
2434,37671,3,"Enchanted Cottage, The",1945,
2435,1331064,3,Paper Heart,2009,
2436,34398,2,"Wolf Man, The",1941,
2437,93818,1,Radio Days,1987,
2438,1095217,3,"Bad Lieutenant: Port of Call - New Orleans, The",2009,
2439,1442519,3,Le h&eacute;risson,2009,
2440,162973,2,Get Real,1998,
2441,379306,3,A Good Woman,2004,
2442,99487,3,Edward Scissorhands,1990,
2443,1424327,1,Eyes Wide Open,2009,
2444,70819,2,A Touch of Class,1973,
2445,40613,3,Mr. Blandings Builds His Dream House,1948,
2446,33459,3,Cheers for Miss Bishop,1941,
2447,70707,1,Sleeper,1973,
2448,293508,2,"Phantom of the Opera, The",2004,
2449,116209,3,"English Patient, The",1996,
2450,274309,1,24 Hour Party People,2002,
2451,1284575,3,Bad Teacher,2011,
2452,407851,3,Hana and Alice,2004,
2454,1461312,3,Alice,2009,
2455,104057,3,Daughters of the Dust,1991,
2456,64840,3,"Prime of Miss Jean Brodie, The",1969,
2457,105316,3,Sarafina!,1992,
2458,474361,3,Sisters in Law,2005,
2459,1721685,3,Pink Saris,2010,
2460,1179080,3,Rough Aunties,2008,
2461,965440,3,Rain,2008,
2462,95270,3,Hairspray,1988,
2463,96928,2,Bill &amp; Ted&#39;s Excellent Adventure,1989,
2464,1309449,0,Kaiji: The Ultimate Gambler,2009,
2465,482459,3,Bandage,2010,
2466,104697,3,Leaving Normal,1992,
2467,29942,0,Boys Town,1938,
2468,33902,1,Men of Boys Town,1941,
2469,1399103,3,Transformers: Dark of the Moon,2011,
2470,1350498,0,Mega Shark vs Giant Octopus,2009,
2471,92563,1,Angel Heart,1987,
2472,804452,3,Bratz,2007,
2473,498353,3,Hostel: Part II,2007,
2475,119942,3,Primary Colors,1998,
2476,51554,3,Dracula (Horror of Dracula),1958,
2477,329355,3,Marion Bridge,2002,
2478,494222,3,Eagle vs Shark,2007,
2479,1605783,3,Midnight in Paris,2011,
2480,1532503,1,Beginners,2010,
2481,1714886,1,Post Mortem,2010,
2482,1481572,1,Happythankyoumoreplease,2010,
2483,58777,0,Zulu,1964,
2484,80749,3,"Fog, The",1980,
2485,96037,3,Satisfaction,1988,
2486,257044,0,Road to Perdition,2002,
2487,59793,3,That Darn Cat!,1965,
2488,98309,3,She-Devil,1989,
2489,1179891,2,My Bloody Valentine 3D,2009,
2490,90633,3,An American Tail,1986,
2491,101329,3,An American Tail: Fievel Goes West,1991,
2492,107745,3,Once Upon a Forest,1993,
2493,94715,3,Beaches,1988,
2494,119859,3,Paradise Road,1997,
2495,303816,3,Cabin Fever,2002,
2496,79641,0,Nosferatu the Vampyre,1979,
2497,1756832,3,"Unleashed, The",2011,
2498,465551,3,Notes on a Scandal,2006,
2499,338135,3,"Barbarian Invasions, The",2003,
2500,337741,3,Something&#39;s Gotta Give,2003,
2501,359423,3,A Home at the End of The World,2004,
2502,94608,3,"Accused, The",1988,
2503,362004,1,Palindromes,2004,
2504,105414,3,Single White Female,1992,
2505,94739,3,Big Business,1988,
2506,105577,3,This is My Life,1992,
2508,258000,3,Panic Room,2002,
2509,408790,3,Flightplan,2005,
2510,307351,3,Prey for Rock &amp; Roll,2003,
2511,369994,3,Strangers with Candy,2005,
2512,1499658,3,Horrible Bosses,2011,
2513,1568921,3,Arrietty,2010,
2514,407246,1,Duck Season,2004,
2515,276919,3,Dogville,2003,
2516,1100048,3,35 Shots of Rum,2008,
2517,277925,3,"Hidden Half (Nimeh-ye penhan), The",2001,
2518,369441,3,Fun with Dick and Jane,2005,
2519,488120,1,Fracture,2007,
2520,50986,2,Smultronst&auml;llet (Wild Strawberries),1957,
2521,323944,2,Shattered Glass,2003,
2522,382628,3,Dark Water,2005,
2523,92605,3,Baby Boom,1987,
2524,75612,3,3 Women,1977,
2525,420087,3,A Prairie Home Companion,2006,
2526,154421,3,"Idiots, The",1998,
2527,460791,3,"Fall, The",2006,
2528,96787,3,All Dogs Go to Heaven,1989,
2529,913445,1,Young People Fucking,2007,
2530,72901,1,Les Douze Travaux d&#146;Ast&eacute;rix (the Twelve Tasks of Asterix),1976,
2531,88748,0,Ast&eacute;rix et la Surprise de C&eacute;asar (Asterix vs. Caesar),1985,
2532,370032,1,Ultraviolet,2006,
2533,82640,3,Lady Chatterley&#39;s Lover,1981,
2534,76162,3,House,1977,
2535,111143,0,"Shadow, The",1994,
2536,1034032,1,Gamer,2009,
2537,814255,3,Percy Jackson &amp; the Olympians: The Lightning Thief,2010,
2538,406816,1,"Guardian, The",2006,
2539,1201607,3,Harry Potter and the Deathly Hallows: Part 2,2011,
2540,896923,3,"City of Your Final Destination, The",2009,
2541,120667,1,Fantastic Four,2005,
2542,1740047,1,"Trip, The",2010,
2543,107688,1,"Nightmare Before Christmas, The",1993,
2544,369339,1,Collateral,2004,
2545,298203,1,8 Mile,2002,
2546,54022,2,Let&#39;s Make Love,1960,
2547,45810,3,Gentlemen Prefer Blondes,1953,
2548,120586,2,American History X,1998,
2549,56860,2,Beach Party,1963,
2550,23694,0,White Zombie,1932,
2551,217505,1,Gangs of New York,2002,
2552,46889,1,"Dam Busters, The",1955,
2553,45659,3,"Cruel Sea, The",1953,
2554,28174,0,Revolt of the Zombies,1936,
2555,31387,3,"Gorilla, The",1939,
2556,32215,3,"Ape, The",1940,
2557,57887,2,Bikini Beach,1964,
2558,1433540,1,A Town Called Panic,2009,
2559,423409,2,Tristram Shandy: A Cock and Bull Story,2005,
2560,55614,3,West Side Story,1961,
2561,73195,3,Jaws,1975,
2562,212338,2,Meet the Parents,2000,
2563,264734,3,Joseph: King of Dreams,2000,
2564,368310,3,Sunset Story,2003,
2565,1632708,3,Friends with Benefits,2011,
2566,462309,1,"Gigolos, The",2006,
2567,458339,1,Captain America: The First Avenger,2011,
2568,357110,3,"Ballad of Jack and Rose, The",2005,
2569,59319,1,"Ipcress File, The",1965,
2570,888019,3,Five Across the Eyes,2006,
2571,66122,1,Deep End,1970,
2572,479647,1,"Bon Cop, Bad Cop",2006,
2573,109370,1,Canadian Bacon,1995,
2574,472062,3,Charlie Wilson&#39;s War,2007,
2575,393162,3,Coach Carter,2005,
2576,88944,1,Commando,1985,
2577,100935,2,Wild at Heart,1990,
2578,50933,2,Sayonara,1957,
2579,758794,1,We Are Marshall,2006,
2580,498380,1,Letters from Iwo Jima,2006,
2581,401997,1,Breach,2007,
2582,61122,3,"Trouble with Angels, The",1966,
2583,64505,1,"Italian Job, The",1969,
2584,77189,2,Avalanche,1978,
2585,52394,3,"Wild Women of Wongo, The",1958,
2586,64156,0,Chastity,1969,
2587,1570728,3,"Crazy, Stupid, Love.",2011,
2588,9968,0,Broken Blossoms or The Yellow Man and the Girl,1919,
2589,409847,1,Cowboys &amp; Aliens,2011,
2590,30473,1,"Mr. Wong, Detective",1938,
2591,55830,3,Carnival of Souls,1962,
2592,1827358,3,She Monkeys,2011,
2593,1235189,1,Wild Target,2010,
2594,1318514,1,Rise of the Planet of the Apes,2011,
2595,1449283,0,Winnie the Pooh,2011,
2596,42546,2,Harvey,1950,
2597,443473,1,"Condemned, The",2007,
2598,451176,3,Quinceanera,2006,
2599,85482,3,El Norte,1983,
2600,1300851,0,"Boondock Saints II: All Saints Day, The",2009,
2601,1121794,3,Sword of the Stranger,2007,
2602,66518,3,"Vampire Lovers, The",1970,
2603,423651,3,Fingersmith,2005,
2604,844794,3,Northanger Abbey,2007,
2605,329767,3,Wilbur Wants to Kill Himself,2002,
2606,1146320,3,Mutants,2009,
2607,1822304,1,Sleeping Sickness (Schlafkrankheit),2011,
2608,384504,3,Saving Face,2004,
2609,55852,3,Cleo from 5 to 7,1962,
2610,457655,2,After the Wedding,2006,
2611,315983,3,House of Sand and Fog,2003,
2612,383694,3,Vera Drake,2004,
2613,90310,3,Wetherby,1985,
2614,961066,3,Everlasting Moments,2008,
2615,454931,3,Requiem,2006,
2616,477139,1,Wristcutters: A Love Story,2006,
2617,139134,3,Cruel Intentions,1999,
2618,1622547,1,30 Minutes or Less,2011,
2619,97123,3,Crimes and Misdemeanors,1989,
2620,67800,1,Straw Dogs,1971,
2621,942384,1,Shelter,2007,
2622,31680,1,Mr. Wong in Chinatown,1939,
2623,1189073,3,"Skin I Live In, The",2011,
2624,1518861,3,Turbulent Skies,2010,
2625,60397,0,Fantastic Voyage,1966,
2626,60176,0,Blow-Up,1966,
2627,244970,3,Someone Like You...,2001,
2628,104990,1,Newsies,1992,
2629,1671616,2,18 comidas,2010,
2630,410764,3,Tideland,2005,
2631,1319708,3,Deus Ex Human Revolution,2011,
2633,1424432,1,Senna,2010,
2634,65449,3,Bambule,1970,
2635,1521783,2,Exit 117,2009,
2636,816462,3,Conan the Barbarian,2011,
2637,101757,3,Don&#39;t Tell Mom the Babysitter&#39;s Dead,1991,
2638,1941600,3,Masks,2011,
2639,472181,3,"Smurfs, The",2011,
2640,74256,3,Bugsy Malone,1976,
2641,120643,3,Dancing at Lughnasa,1998,
2643,1514041,3,4.3.2.1,2010,
2644,93512,2,Maurice,1987,
2645,53318,3,"Suddenly, Last Summer",1959,
2646,199725,3,Love &amp; Basketball,2000,
2647,49287,3,Gunslinger,1956,
2648,92007,3,Star Trek IV:  The Voyage Home,1986,
2649,1832382,3,A Separation,2011,
2650,1054580,3,Desert Flower,2009,
2651,41650,0,Mighty Joe Young,1949,
2652,63415,3,"Party, The",1968,
2653,95145,3,Feds,1988,
2654,38661,1,"Jolson Story, The",1946,
2655,765120,3,My Blueberry Nights,2007,
2656,892782,3,Monsters vs Aliens,2009,
2658,91993,3,SpaceCamp,1986,
2659,1772240,0,Apollo 18,2011,
2660,1540133,1,"Guard, The",2011,
2661,1226753,3,"Debt, The",2010,
2662,90756,1,Blue Velvet,1986,
2663,94612,1,Action Jackson,1988,
2664,61452,2,Casino Royale,1967,
2665,95305,3,High Tide,1987,
2666,120493,3,"Well, The",1997,
2667,82979,3,Reds,1981,
2668,77416,1,"Deer Hunter, The",1978,
2669,978762,1,Mary and Max,2009,
2670,90315,0,When the Wind Blows,1986,
2671,1191111,1,Enter the Void,2009,
2672,75249,3,Sparkle,1976,
2673,1598778,3,Contagion,2011,
2674,68182,2,Aguirre: The Wrath of God,1972,
2675,213149,2,Pearl Harbor,2001,
2676,1107809,3,Cutlass,2007,
2677,1740707,1,TrollHunter,2010,
2678,33021,1,Santa Fe Trail,1940,
2679,780504,3,Drive,2011,
2680,1270761,3,Don&#39;t Be Afraid of the Dark,2010,
2681,120831,3,Slums of Beverly Hills,1998,
2682,70300,3,Lemora: A Child&#39;s Tale Of The Supernatural,1973,
2683,75137,1,Revenge Of The Cheerleaders,1976,
2684,112288,3,"Addiction, The",1995,
2685,1242423,3,Dear Lemon Lima,2009,
2686,1341341,2,Ceremony,2010,
2687,342272,1,Dear Wendy,2005,
2688,1302011,3,Kung Fu Panda 2,2011,
2689,1714208,3,"Woman, The",2011,
2690,112651,3,"Celluloid Closet, The",1995,
2691,1564349,2,Dolphin Tale,2011,
2692,999913,3,Straw Dogs,2011,
2693,873886,3,Red State,2011,
2694,1279083,3,Examined Life,2008,
2695,1716772,1,"Inbetweeners Movie, The",2011,
2696,60165,1,A Big Hand for the Little Lady,1966,
2697,81633,1,Time Bandits,1981,
2698,49366,3,Invasion of the Body Snatchers,1956,
2699,27562,1,Earthworm Tractors,1936,
2700,1123373,3,Detective Dee and the Mystery of the Phantom Flame,2010,
2701,60479,3,"Group, The",1966,
2702,1429392,3,Small Town Murder Songs,2010,
2703,1672845,3,You Instead,2011,
2704,44706,2,High Noon,1952,
2705,21749,3,City Lights,1931,
2706,1781812,3,Exit Humanity,2011,
2707,1582270,1,"Dead Inside, The",2011,
2708,34587,3,Cat People,1942,
2709,105481,3,Straight Talk,1992,
2710,93011,2,Fatal Beauty,1987,
2711,1743922,1,Donovan&#39;s Echo,2011,
2712,1754351,3,"Hollywood Complex, The",2010,
2713,816520,3,Return To Halloweentown,2006,
2714,1448755,0,Killer Elite,2011,
2715,37008,3,Laura,1944,
2716,1592281,3,Take This Waltz,2011,
2717,1210166,1,Moneyball,2011,
2718,1684628,3,Circumstance,2011,
2719,1562568,3,Higher Ground,2011,
2720,58324,2,Man&#39;s Favorite Sport?,1964,
2721,1691323,3,Attenberg,2011,
2722,64541,1,Kes,1969,
2723,203166,3,Together,2000,
2724,1531930,3,"Lie, The",2011,
2725,235154,3,6ixtynin9,1999,
2726,1832405,1,Moon Point,2011,
2727,1604225,3,Thespians,2011,
2728,1756750,1,Starbuck,2011,
2729,1602617,0,"Corridor, The",2010,
2730,49096,2,"Court Jester, The",1956,
2731,165643,3,Black and White,1999,
2732,1592527,3,"Black Power Mixtape 1967-1975, The",2011,
2733,1509787,3,A Bag of Hammers,2010,
2734,1675439,2,Lloyd the Conqueror,2011,
2735,1478964,3,Attack the Block,2011,
2736,1124035,1,Ides Of March,2011,
2737,45061,1,"Quiet Man, The",1952,
2739,443536,3,Hoodwinked!,2005,
2740,103060,3,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,
2741,362387,3,2LDK,2003,
2742,88146,0,A Soldier&#39;s Story,1984,
2743,415127,3,"Man from London, The",2007,
2744,93565,3,Moonstruck,1987,
2745,312687,3,La fille de Keltoum,2001,
2746,47152,1,Knock on Wood,1954,
2747,1340800,1,Tinker Tailor Soldier Spy,2011,
2748,1787777,1,Page One: Inside the New York Times,2011,
2749,63227,3,"Lion in Winter, The",1968,
2751,67741,1,Shaft,1971,
2752,433035,1,Real Steel,2011,
2753,82869,1,Outland,1981,
2754,472399,0,"Mechanic, The",2011,
2755,1326956,3,Our Summer in Tehran,2009,
2756,26667,3,Magnificent Obsession,1935,
2757,63850,1,If....,1968,
2758,1068242,3,Footloose,2011,
2759,1655442,1,"Artist, The",2011,
2760,71427,3,Dialogues of Exiles,1975,
2761,1946421,1,"Captains, The",2011,
2762,52646,2,"Brain That Wouldn&#39;t Die, The",1962,
2763,52169,2,"Screaming Skull, The",1958,
2764,905372,3,"Thing, The",2011,
2765,86739,3,"Jewel in the Crown, The",1984,
2766,58335,3,Marriage Italian Style,1964,
2767,22718,1,Boudu Saved from Drowning,1932,
2768,420251,3,Three... Extremes,2004,
2769,70666,1,Serpico,1973,
2770,83722,3,Cat People,1982,
2771,1805297,3,"Women on the 6th Floor, The",2010,
2772,56912,3,Carry on Cabby,1963,
2773,1440232,3,Little White Lies,2010,
2774,1179025,3,"Extraordinary Adventures of Adele Blanc-Sec, The",2010,
2775,1229381,1,Outside the Law,2010,
2776,790712,1,"Messenger, The",2009,
2777,1071804,3,Ink,2009,
2778,1049402,0,Howl,2010,
2779,1216475,2,Cars 2,2011,
2780,977855,3,Fair Game,2010,
2781,1561768,0,Essential Killing,2010,
2782,1270842,3,Norwegian Wood,2010,
2783,1465522,3,Tucker and Dale vs Evil,2010,
2784,94631,1,Alien Nation,1988,
2785,101701,1,Delirious,1991,
2787,1509767,2,"Three Musketeers, The",2011,
2788,1053810,2,"Big Year, The",2011,
2789,1440118,3,I Am Nasrine,2011,
2790,1498569,3,Restless,2011,
2791,1403988,3,"Romantics, The",2010,
2792,1242460,3,We Need to Talk About Kevin,2011,
2793,213121,3,New Waterford Girl,1999,
2794,1536044,3,Paranormal Activity 2,2010,
2795,805564,3,Lars and the real Girl,2007,
2796,52846,3,"Giant Gila Monster, The",1959,
2797,54673,0,"Beast of Yucca Flats, The",1961,
2798,61184,1,Who&#39;s Afraid of Virginia Woolf?,1966,
2799,81060,3,Little Darlings,1980,
2800,429727,3,Il caimano (The Caiman),2006,
2801,1734113,0,Omae Umasou da na,2010,
2802,497137,3,"I&#39;m a Cyborg, But That&#39;s OK",2006,
2803,69019,2,Don&#39;t Torture a Duckling,1972,
2804,60558,1,Jesse James Meets Frankenstein&#39;s Daughter,1966,
2805,1630027,3,Alamanya,2011,
2806,1674692,3,French Immersion,2011,
2807,1637688,1,In Time,2011,
2808,53579,3,Late Autumn,1960,
2809,38559,0,Gilda,1946,
2810,1447479,3,A Marine Story,2010,
2811,1464580,1,Stake Land,2010,
2812,1013860,0,Dylan Dog: Dead of Night,2010,
2813,1369706,3,"Ward, The",2010,
2814,72271,1,"Texas Chain Saw Massacre, The",1974,
2815,77651,3,Halloween,1978,
2816,70723,1,Soylent Green,1973,
2817,370986,1,Mysterious Skin,2004,
2818,983193,1,"Adventures of Tintin, The",2011,
2819,1306980,2,50/50,2011,
2820,99892,2,Joe Versus the Volcano,1990,
2821,309593,3,Final Destination 2,2003,
2822,1615147,1,Margin Call,2011,
2823,50706,3,Mon Oncle,1958,
2825,1235170,3,"Future, The",2011,
2826,1813314,3,Fjellet,2011,
2827,1462053,3,Leading Ladies,2010,
2828,139151,2,Inferno,1999,
2829,61834,3,I Am Curious (Yellow),1967,
2830,913425,3,Broken Embraces,2009,
2831,71798,3,"Maids, The",1975,
2832,1126596,2,Adulthood,2008,
2833,1675192,3,Take Shelter,2011,
2834,1462041,3,Dream House,2011,
2835,113326,1,Rumble in the Bronx (Hung fan kui),1995,
2837,1376233,3,Rid of Me,2011,
2838,60424,1,"Fortune Cookie, The",1966,
2839,1441326,3,Martha Marcy May Marlene,2011,
2841,985699,1,Valkyrie,2008,
2842,1253864,2,Immortals,2011,
2843,1117379,3,Bonnie &amp; Clyde vs. Dracula,2008,
2844,303830,3,Casa de los babys,2003,
2845,59557,2,Our Man Flint,1966,
2846,102536,3,Night on Earth,1991,
2847,108188,0,Sonatine,1993,
2848,71615,1,"Holy Mountain, The",1973,
2849,41628,2,"Man on the Eiffel Tower, The",1949,
2850,144715,3,Holy Smoke,1999,
2851,31742,1,Of Mice and Men,1939,
2852,110889,3,Priest,1994,
2853,28021,3,Osaka Elegy,1936,
2854,1268799,1,A Very Harold &amp; Kumar 3D Christmas,2011,
2855,59020,3,Cathy Come Home,1966,
2856,892100,3,Steam,2007,
2857,104922,1,Motorama,1991,
2858,892899,0,Outpost,2008,
2859,1699185,1,Free Men,2011,
2860,1178197,1,"World is Big and Salvation Lurks Around the Corner, The",2008,
2861,49934,3,War and Peace,1956,
2863,1996211,0,Chasing Legends,2010,
2864,114746,1,Twelve Monkeys,1995,
2865,1758692,3,Like Crazy,2011,
2866,87644,3,Love Streams,1984,
2867,33627,0,49th Parallel,1941,
2868,154420,3,Festen (The Celebration),1998,
2869,1033575,3,"Descendants, The",2011,
2870,1900856,3,Coup d&#39;&eacute;clat,2011,
2871,347048,3,Head-On,2004,
2873,82010,2,An American Werewolf in London,1981,
2874,84805,1,Tootsie,1982,
2876,1564367,3,Just Go with It,2011,
2877,1622979,2,Final Destination 5,2011,
2878,1778304,3,Paranormal Activity 3,2011,
2879,448694,1,Puss in Boots,2011,
2880,1596346,3,Soul Surfer,2011,
2881,1618390,2,"Disciple, The",2010,
2882,112792,3,Dangerous Minds,1995,
2883,81375,3,Private Benjamin,1980,
2884,1379222,3,"Double Hour, The",2009,
2885,117718,3,"Spitfire Grill, The",1996,
2887,1655420,3,My Week with Marilyn,2011,
2888,303933,1,Drumline,2002,
2889,1204342,1,"Muppets, The",2011,
2890,327137,1,Secondhand Lions,2003,
2891,309987,2,"Dreamers, The",2003,
2892,107426,1,Little Buddha,1993,
2893,67065,1,Escape from the Planet of the Apes,1971,
2894,89908,3,Return to Oz,1985,
2895,51051,3,Tammy and the Bachelor,1957,
2896,122718,1,Small Soldiers,1998,
2897,120616,1,"Mummy, The",1999,
2898,354899,3,"Science of Sleep, The",2006,
2899,64002,1,Alice&#39;s Restaurant,1969,
2900,489010,1,A Crime,2006,
2901,376263,0,Tough Luck,2003,
2902,65126,3,True Grit,1969,
2903,95631,2,Midnight Run,1988,
2904,49010,0,Bigger Than Life,1956,
2905,95489,3,"Land Before Time, The",1988,
2906,33436,3,Buck Privates,1941,
2907,264689,3,Home Room,2002,
2908,2008009,3,"Clock, The",2010,
2909,1508675,3,Le Havre,2011,
2910,33723,3,Hold That Ghost,1941,
2911,844993,3,Hoodwinked Too! Hood vs. Evil,2011,
2912,129023,1,Dark Harbor,1998,
2913,101627,3,Critters 3,1991,
2914,113957,3,"Net, The",1995,
2915,1442437,3,Modern Family,2009,
2916,106977,2,"Fugitive, The",1993,
2917,187078,1,Gone in Sixty Seconds,2000,
2918,822847,1,Priest,2011,
2919,1675434,1,Untouchable,2011,
2921,337921,3,Cellular,2004,
2922,58213,3,"Hush...Hush, Sweet Charlotte",1964,
2923,187393,3,"Patriot, The",2000,
2924,68762,1,Jeremiah Johnson,1972,
2925,63049,0,Head,1968,
2926,48545,1,Rebel Without a Cause,1955,
2927,93748,1,"Planes, Trains &amp; Automobiles",1987,
2928,61620,0,Elvira Madigan,1967,
2929,1661420,3,Polisse,2011,
2930,44081,3,A Streetcar Named Desire,1951,
2931,113416,3,"Incredibly True Adventures of Two Girls in Love, The",1995,
2932,473074,3,"Gymnast, The",2006,
2933,420015,3,Nine Lives,2005,
2934,210358,3,Things You Can Tell Just by Looking at Her,1999,
2935,1541160,3,Flypaper,2011,
2936,1185242,3,Finding Bliss,2009,
2937,117057,3,"Mirror Has Two Faces, The",1996,
2939,249462,3,Billy Elliot,2000,
2940,1332134,1,King of Devil&#39;s Island,2010,
2941,424345,3,Clerks II,2006,
2942,99582,3,Flatliners,1990,
2943,1515091,1,Sherlock Holmes: A Game of Shadows,2011,
2944,480687,2,Hall Pass,2011,
2946,364343,2,"Final Cut, The",2004,
2947,1265990,3,"Roommate, The",2011,
2948,1615918,3,Alvin and the Chipmunks: Chipwrecked,2011,
2949,74937,3,Murder by Death,1976,
2950,54333,3,Body in the Web,1960,
2951,1345772,3,"Clinic, The",2010,
2952,1625346,3,Young Adult,2011,
2953,1568346,1,"Girl with the Dragon Tattoo, The",2011,
2954,1650043,1,Diary of a Wimpy Kid: Rodrick Rules,2011,
2955,1093357,3,"Darkest Hour, The",2011,
2956,1068678,3,Veronika Decides to Die,2009,
2957,335119,3,Girl with a Pearl Earring,2003,
2958,1568911,1,War Horse,2011,
2960,95037,3,"Distant Voices, Still Lives",1988,
2962,968264,3,"Conspirator, The",2010,
2963,99423,3,Die Hard 2,1990,
2964,471042,1,Tower Heist,2011,
2965,77413,3,Death on the Nile,1978,
2966,61578,0,"Dirty Dozen, The",1967,
2967,1229238,1,Mission: Impossible - Ghost Protocol,2011,
2968,800241,3,Transsiberian,2008,
2969,61747,2,Hang &#39;Em High,1968,
2970,120458,3,Virus,1999,
2972,109440,3,Fear City: A Family-Style Comedy,1994,
2974,75177,1,Sebastiane,1976,
2975,1438176,3,Fright Night,2011,
2976,814795,0,In the Arms of My Enemy,2007,
2977,44030,3,Show Boat,1951,
2978,1621994,3,Once Upon a Warrior,2011,
2979,316396,3,Peter Pan,2003,
2980,772154,3,Apart From That,2006,
2981,50212,1,"Bridge on the River Kwai, The",1957,
2982,185937,3,"Blair Witch Project, The",1999,
2983,75784,1,A Bridge Too Far,1977,
2984,65724,3,Five Easy Pieces,1970,
2985,970179,3,Hugo,2011,
2986,68156,1,1776,1972,
2987,376136,1,"Rum Diary, The",2011,
2988,54248,2,Rocco and His Brothers,1960,
2989,42619,1,Diary of a Country Priest,1951,
2990,1692486,3,Carnage,2011,
2991,1435513,3,Hysteria,2011,
2992,792965,3,"Ensemble, c&#39;est tout",2007,
2993,1560985,3,"Devil Inside, The",2012,
2994,117407,0,Pusher,1996,
2995,396184,3,With Blood on My Hands: Pusher II,2004,
2996,1199099,3,Merlin,2008,
2997,1496025,3,Underworld: Awakening,2012,
2998,1506999,0,Haywire,2011,
3000,99810,1,"Hunt for Red October, The",1990,
3001,89218,3,"Goonies, The",1985,
3002,91064,2,"Fly, The",1986,
3003,93437,1,"Lost Boys, The",1987,
3004,109306,3,Blue Sky,1994,
3005,464049,1,"History Boys, The",2006,
3006,1827487,1,Once upon a time in Anatolia,2011,
3007,50861,3,"Prince and the Showgirl, The",1957,
3008,110171,3,J&#39;ai pas sommeil,1994,
3010,485985,2,Red Tails,2012,
3011,1610452,3,Band Baaja Barat,2010,
3012,466839,3,I Could Never Be Your Woman,2007,
3013,472071,3,Death Defying Acts,2007,
